Human Message 1,Chatbot Response 1,Human Message 2,Chatbot Response 2,Human Message 3,Chatbot Response 3,Human Message 4,Chatbot Response 4,Human Message 5,Chatbot Response 5,Human Message 6,Chatbot Response 6,Human Message 7,Chatbot Response 7,Human Message 8,Chatbot Response 8,Human Message 9,Chatbot Response 9,Human Message 10,Chatbot Response 10,Human Message 10,Chatbot Response 10,Human Message 11,Chatbot Response 11,Human Message 12,Chatbot Response 12,Human Message 13,Chatbot Response 13
"Hello, I need to book an appointment.","Sure, I can help with that. Could you please provide your name, DOB, Phone number and Email and the reason for your visit?",It's John.,"Thank you, John. Can I have your full name (First Name and Last Name) and date of birth?","Uh, John... I think it's in your system.","To ensure we have the correct information, I'll need your full name (First Name and Last Name) and date of birth. This helps us locate your records accurately.","Oh, okay. It's Johnathan Smith. I was born on April 3rd, 1982.",Thank you. Could you please provide a contact number and email?,"Um, hold on. I think it's... (555) 123... 7890? And I don't have an email address.","Thank you. Just to confirm, your contact number is (555) 123-7890, correct?","Yes, that's right.","Thanks for the details, We have sent you the OTP on the registered Phone Number. Can you please enter the OTP?",1111,"Thanks for the validation, Please choose the appointment Reason from the following: <<show cards>>",Select one card.,Great. Do you have any preferred dates and times for your appointment?,Anytime next week is fine.,"Okay, let me check our availability for next week. Do you prefer mornings or afternoons?","Uh, mornings, I guess.","Please choose a provider from the list:
● Dr. Robert Anderson
● Dr. Laura Bennett
● Dr. Michael Clark",I'll choose Dr. Robert Anderson.,"I see the following open slots for next week: Monday, 10:00 AM; Wednesday, 10:20 AM; Friday, 10:40 AM.","Let's book the Monday, 10:00 AM appointment.","Alright! Can you please confirm the following details once:
Patient Information:
Name: Johnathan Smith
Date of Birth: April 3, 1982
Contact Number: (555) 123-7890
Appointment Details:
Date: Monday, next week (June 3, 2024)
Time: 10:00 AM
Provider: Dr. Robert Anderson
Reason for Visit: Blurry vision","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Is there anything I can help you with?",Nothing as of now.,"Thanks, Have a great day!"
"Hi, I'd like to book an appointment, please.","Sure, I can assist you with that. Could you please provide your name, DOB, Phone number and Email, and the reason for your visit?",It's Mike.,"Thank you, Mike. Can I have your full name (First Name and Last Name) and date of birth?","Uh, Mike... It should be in your system.","To ensure we have the correct information, I'll need your full name (First Name and Last Name) and date of birth. This helps us locate your records accurately.","Oh, okay. It's Michael Johnson. I was born on May 12th, 1975.",Thank you. Could you please provide a contact number and email?,"Um, hold on. It's... (555) 987... 6543? And I don't have an email address.","Thank you. Just to confirm, your contact number is (555) 987-6543, correct?","Yes, that's right.","Thanks for the details, We have sent you the OTP on the registered Phone Number. Can you please enter the OTP?",2222,"Thanks for the validation, Please choose the appointment Reason from the following: <<show cards>>",Select one card.,Great. Do you have any preferred dates and times for your appointment?,Anytime next week is fine.,"Okay, let me check our availability for next week. Do you prefer mornings or afternoons?","Uh, afternoons, I guess.","Please choose a provider from the list:
● Dr. Sarah Lee
● Dr. John Adams
● Dr. Emma Davis",I'll choose Dr. Sarah Lee.,"I see the following open slots for next week: Tuesday, 2:00 PM; Thursday, 2:20 PM; Friday, 3:00 PM.","Let's book the Tuesday, 2:00 PM appointment.","Alright! Can you please confirm the following details once:
Patient Information:
Name: Michael Johnson
Date of Birth: May 12, 1975
Contact Number: (555) 987-6543
Appointment Details:
Date: Tuesday, next week (June 4, 2024)
Time: 2:00 PM
Provider: Dr. Sarah Lee
Reason for Visit: Blurry vision","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Is there anything I can help you with?",Nothing as of now.,"Thanks, Have a great day!"
"Hello, I'd like to book an eye check-up.","Sure, I can help with that. Could you please provide your name, DOB, Phone number and Email and the reason for your visit?",It's David.,"Thank you, David. Can I have your full name (First Name and Last Name) and date of birth?","Uh, I think it's David... I don't remember the details.","To ensure we have the correct information, I'll need your full name (First Name and Last Name) and date of birth. This helps us locate your records accurately.","Oh, right. It's David Martinez. I was born on June 21st, 1985.",Thank you. Could you please provide a contact number and email?,"Um, it's... (555) 234... 5678? And I don't have an email address.","Thank you. Just to confirm, your contact number is (555) 234-5678, correct?","Yes, that's right.","Thanks for the details, We have sent you the OTP on the registered Phone Number. Can you please enter the OTP?",3333,"Thanks for the validation, Please choose the appointment Reason from the following: <<show cards>>",Select one card.,Great. Do you have any preferred dates and times for your appointment?,Anytime next week is good.,"Okay, let me check our availability for next week. Do you prefer mornings or afternoons?","Uh, afternoons, I guess.","Please choose a provider from the list:
● Dr. Robert Anderson
● Dr. Emily Davis
● Dr. Michael Lee",I'll choose Dr. Robert Anderson.,"I see the following open slots for next week: Tuesday, 2:00 PM; Thursday, 2:20 PM; Friday, 2:40 PM.","Let's book the Tuesday, 2:00 PM appointment.","Alright! Can you please confirm the following details once:
Patient Information:
Name: David Martinez
Date of Birth: June 21, 1985
Contact Number: (555) 234-5678
Appointment Details:
Date: Tuesday, next week (June 4, 2024)
Time: 2:00 PM
Provider: Dr. Robert Anderson
Reason for Visit: Blurry vision","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Is there anything I can help you with?",Nothing as of now.,"Thanks, Have a great day!"
"Hi, I'd like to schedule an appointment.","Sure, I can assist with that. Could you please provide your name, DOB, Phone number and Email and the reason for your visit?",It's Laura.,"Thank you, Laura. Can I have your full name (First Name and Last Name) and date of birth?","Uh, I think it's Laura... Can you check your records?","To ensure we have the correct information, I'll need your full name (First Name and Last Name) and date of birth. This helps us locate your records accurately.","Oh, right. It's Laura Adams. I was born on August 7th, 1992.",Thank you. Could you please provide a contact number and email?,"Um, it's... (555) 456... 7890? And I don't have an email address.","Thank you. Just to confirm, your contact number is (555) 456-7890, correct?","Yes, that's correct.","Thanks for the details, We have sent you the OTP on the registered Phone Number. Can you please enter the OTP?",4444,"Thanks for the validation, Please choose the appointment Reason from the following: <<show cards>>",Select one card.,Great. Do you have any preferred dates and times for your appointment?,Anytime next week is fine.,"Okay, let me check our availability for next week. Do you prefer mornings or afternoons?","Uh, mornings, I guess.","Please choose a provider from the list:
● Dr. Sarah Lee
● Dr. John Smith
● Dr. Emma Brown",I'll choose Dr. Sarah Lee.,"I see the following open slots for next week: Monday, 9:00 AM; Wednesday, 9:30 AM; Friday, 10:00 AM.","Let's book the Monday, 9:00 AM appointment.","Alright! Can you please confirm the following details once:
Patient Information:
Name: Laura Adams
Date of Birth: August 7, 1992
Contact Number: (555) 456-7890
Appointment Details:
Date: Monday, next week (June 3, 2024)
Time: 9:00 AM
Provider: Dr. Sarah Lee
Reason for Visit: Routine eye check-up","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Is there anything I can help you with?",Nothing as of now.,"Thanks, Have a great day!"
"Hello, I'd like to book an appointment.","Sure, I can help with that. Could you please provide your name, DOB, Phone number and Email and the reason for your visit?",It's Robert.,"Thank you, Robert. Can I have your full name (First Name and Last Name) and date of birth?","Uh, I think it's Robert... Can you look it up?","To ensure we have the correct information, I'll need your full name (First Name and Last Name) and date of birth. This helps us locate your records accurately.","Oh, right. It's Robert Clark. I was born on September 15th, 1988.",Thank you. Could you please provide a contact number and email?,"Um, it's... (555) 567... 8901? And I don't have an email address.","Thank you. Just to confirm, your contact number is (555) 567-8901, correct?","Yes, that's correct.","Thanks for the details, We have sent you the OTP on the registered Phone Number. Can you please enter the OTP?",5555,"Thanks for the validation, Please choose the appointment Reason from the following: <<show cards>>",Select one card.,Great. Do you have any preferred dates and times for your appointment?,Anytime next week works.,"Okay, let me check our availability for next week. Do you prefer mornings or afternoons?","Uh, afternoons, I guess.","Please choose a provider from the list:
● Dr. David Johnson
● Dr. Linda Brown
● Dr. Chris Martin",I'll choose Dr. David Johnson.,"I see the following open slots for next week: Tuesday, 3:00 PM; Thursday, 3:20 PM; Friday, 3:40 PM.","Let's book the Tuesday, 3:00 PM appointment.","Alright! Can you please confirm the following details once:
Patient Information:
Name: Robert Clark
Date of Birth: September 15, 1988
Contact Number: (555) 567-8901
Appointment Details:
Date: Tuesday, next week (June 4, 2024)
Time: 3:00 PM
Provider: Dr. David Johnson
Reason for Visit: Blurry vision","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Is there anything I can help you with?",Nothing as of now.,"Thanks, Have a great day!"
"Hello, this is Olivia Brown calling to book an eye examination appointment for my child at the eyecare hospital. My child has been experiencing some difficulty seeing the board at school. Here are the details:
Parent's Name: Olivia Brown
Child's Name: Lily Brown
DOB: June 1, 2012
Preferred Appointment Date: June 18, 2024
Preferred Time: Afternoon, if possible
Reason for Visit: Difficulty seeing the board at school
Please call me back at your earliest convenience to confirm the appointment or suggest an alternative time if my preferred slot is not available. You can reach me at the contact number provided above. Thank you.
Best regards,
Olivia Brown
(555) 789-0123","Ok, thank you for sharing the details. Can you please help provide an email address, We will validate it.",test@first-insight.com,"can you please confirm the following contact details
Phone Number: (555) 789-0123
Email: test@first-insight.com
DOB: 12-05-2000",Yes it's correct,"Thanks for the details, We have sent you the OTP on the registered email and Phone Number, Can you please enter the OTP",1111,"Thanks for the validation, Please choose providers from the list:
● Dr. Emily Thompson
● Dr. Mark Davis
● Dr. Susan Lee",I'll go with Dr. Emily Thompson.,"Provided appointment reason 'Difficulty seeing the board at school' is not matching, Can you please select from below list:
● Distance Vision
● Near Vision
● Follow Up
● Blurred vision",I'll go with Blurred vision,"Ok, thank you for sharing the details. Let me check the availability of the appointment. I see the following open slots on June 18, 2024: 2:00 PM, 2:20 PM, 3:00 PM.",Let's book the 2:00 PM appointment.,"Alright! Can you please confirm the following details once:
Patient Information:
Parent's Name: Olivia Brown
Child's Name: Lily Brown
Date of Birth: December 5, 2000
Contact Number: (555) 789-0123
Appointment Details:
Date: June 18, 2024
Time: 2:00 PM
Provider: Dr. Emily Thompson
Reason for Visit: Blurred vision","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Is there anything I can help you with?",Nothing as of now.,"Thanks, Have a great day!",,,,,,,,,,
"Hello, this is John Doe calling to book an eye examination appointment for my son at the eyecare hospital. My son has been struggling with blurry vision during classes. Here are the details:
Parent's Name: John Doe
Child's Name: Ethan Doe
DOB: August 15, 2011
Preferred Appointment Date: June 19, 2024
Preferred Time: Morning, if possible
Reason for Visit: Blurry vision during classes
Please call me back at your earliest convenience to confirm the appointment or suggest an alternative time if my preferred slot is not available. You can reach me at the contact number provided above. Thank you.
Best regards,
John Doe
(555) 123-4567","Ok, thank you for sharing the details. Can you please help provide an email address, We will validate it.",john.doe@example.com,"can you please confirm the following contact details
Phone Number: (555) 123-4567
Email: john.doe@example.com
DOB: 08-15-2000",Yes it's correct,"Thanks for the details, We have sent you the OTP on the registered email and Phone Number, Can you please enter the OTP",2222,"Thanks for the validation, Please choose providers from the list:
● Dr. Robert Wilson
● Dr. Laura Bennett
● Dr. John Smith",I'll go with Dr. Robert Wilson.,"Provided appointment reason 'Blurry vision during classes' is not matching, Can you please select from below list:
● Distance Vision
● Near Vision
● Follow Up
● Blurred vision",I'll go with Blurred vision,"Ok, thank you for sharing the details. Let me check the availability of the appointment. I see the following open slots on June 19, 2024: 9:00 AM, 9:30 AM, 10:00 AM.",Let's book the 9:00 AM appointment.,"Alright! Can you please confirm the following details once:
Patient Information:
Parent's Name: John Doe
Child's Name: Ethan Doe
Date of Birth: August 15, 2000
Contact Number: (555) 123-4567
Appointment Details:
Date: June 19, 2024
Time: 9:00 AM
Provider: Dr. Robert Wilson
Reason for Visit: Blurred vision","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Is there anything I can help you with?",Nothing as of now.,"Thanks, Have a great day!",,,,,,,,,,
"Hello, this is Emily Harris calling to book an eye examination appointment for my daughter at the eyecare hospital. My daughter has been complaining about headaches while reading. Here are the details:
Parent's Name: Emily Harris
Child's Name: Mia Harris
DOB: March 3, 2013
Preferred Appointment Date: June 20, 2024
Preferred Time: Afternoon, if possible
Reason for Visit: Headaches while reading
Please call me back at your earliest convenience to confirm the appointment or suggest an alternative time if my preferred slot is not available. You can reach me at the contact number provided above. Thank you.
Best regards,
Emily Harris
(555) 987-6543","Ok, thank you for sharing the details. Can you please help provide an email address, We will validate it.",emily.harris@testmail.com,"can you please confirm the following contact details
Phone Number: (555) 987-6543
Email: emily.harris@testmail.com
DOB: 03-03-2000",Yes it's correct,"Thanks for the details, We have sent you the OTP on the registered email and Phone Number, Can you please enter the OTP",3333,"Thanks for the validation, Please choose providers from the list:
● Dr. Sarah Lee
● Dr. Mark White
● Dr. Emily Brown",I'll go with Dr. Sarah Lee.,"Provided appointment reason 'Headaches while reading' is not matching, Can you please select from below list:
● Distance Vision
● Near Vision
● Follow Up
● Blurred vision",I'll go with Blurred vision,"Ok, thank you for sharing the details. Let me check the availability of the appointment. I see the following open slots on June 20, 2024: 2:00 PM, 2:30 PM, 3:00 PM.",Let's book the 2:00 PM appointment.,"Alright! Can you please confirm the following details once:
Patient Information:
Parent's Name: Emily Harris
Child's Name: Mia Harris
Date of Birth: March 3, 2000
Contact Number: (555) 987-6543
Appointment Details:
Date: June 20, 2024
Time: 2:00 PM
Provider: Dr. Sarah Lee
Reason for Visit: Blurred vision","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Is there anything I can help you with?",Nothing as of now.,"Thanks, Have a great day!",,,,,,,,,,
"Hello, this is Michael Brown calling to book an eye examination appointment for my child at the eyecare hospital. My child has been having trouble seeing objects at a distance. Here are the details:
Parent's Name: Michael Brown
Child's Name: Lily Brown
DOB: September 25, 2012
Preferred Appointment Date: June 21, 2024
Preferred Time: Afternoon, if possible
Reason for Visit: Trouble seeing objects at a distance
Please call me back at your earliest convenience to confirm the appointment or suggest an alternative time if my preferred slot is not available. You can reach me at the contact number provided above. Thank you.
Best regards,
Michael Brown
(555) 789-0123","Ok, thank you for sharing the details. Can you please help provide an email address, We will validate it.",michael.brown@example.com,"can you please confirm the following contact details
Phone Number: (555) 789-0123
Email: michael.brown@example.com
DOB: 09-25-2000",Yes it's correct,"Thanks for the details, We have sent you the OTP on the registered email and Phone Number, Can you please enter the OTP",4444,"Thanks for the validation, Please choose providers from the list:
● Dr. Michael Green
● Dr. Sarah Johnson
● Dr. David Thompson",I'll go with Dr. Michael Green.,"Provided appointment reason 'Trouble seeing objects at a distance' is not matching, Can you please select from below list:
● Distance Vision
● Near Vision
● Follow Up
● Blurred vision",I'll go with Blurred vision,"Ok, thank you for sharing the details. Let me check the availability of the appointment. I see the following open slots on June 21, 2024: 2:00 PM, 2:20 PM, 3:00 PM.",Let's book the 2:00 PM appointment.,"Alright! Can you please confirm the following details once:
Patient Information:
Parent's Name: Michael Brown
Child's Name: Lily Brown
Date of Birth: September 25, 2000
Contact Number: (555) 789-0123
Appointment Details:
Date: June 21, 2024
Time: 2:00 PM
Provider: Dr. Michael Green
Reason for Visit: Blurred vision","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Is there anything I can help you with?",Nothing as of now.,"Thanks, Have a great day!",,,,,,,,,,
"Hello, this is Sarah Johnson calling to book an eye examination appointment for my son at the eyecare hospital. My son has been struggling with vision issues at school. Here are the details:
Parent's Name: Sarah Johnson
Child's Name: Jack Johnson
DOB: November 12, 2012
Preferred Appointment Date: June 22, 2024
Preferred Time: Afternoon, if possible
Reason for Visit: Vision issues at school
Please call me back at your earliest convenience to confirm the appointment or suggest an alternative time if my preferred slot is not available. You can reach me at the contact number provided above. Thank you.
Best regards,
Sarah Johnson
(555) 246-8109","Ok, thank you for sharing the details. Can you please help provide an email address, We will validate it.",sarah.johnson@schoolmail.com,"can you please confirm the following contact details
Phone Number: (555) 246-8109
Email: sarah.johnson@schoolmail.com
DOB: 11-12-2000",Yes it's correct,"Thanks for the details, We have sent you the OTP on the registered email and Phone Number, Can you please enter the OTP",5555,"Thanks for the validation, Please choose providers from the list:
● Dr. Robert Anderson
● Dr. Laura Wilson
● Dr. Michael Clark",I'll go with Dr. Robert Anderson.,"Provided appointment reason 'Vision issues at school' is not matching, Can you please select from below list:
● Distance Vision
● Near Vision
● Follow Up
● Blurred vision",I'll go with Blurred vision,"Ok, thank you for sharing the details. Let me check the availability of the appointment. I see the following open slots on June 22, 2024: 2:00 PM, 2:20 PM, 3:00 PM.",Let's book the 2:00 PM appointment.,"Alright! Can you please confirm the following details once:
Patient Information:
Parent's Name: Sarah Johnson
Child's Name: Jack Johnson
Date of Birth: November 12, 2000
Contact Number: (555) 246-8109
Appointment Details:
Date: June 22, 2024
Time: 2:00 PM
Provider: Dr. Robert Anderson
Reason for Visit: Blurred vision","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Is there anything I can help you with?",Nothing as of now.,"Thanks, Have a great day!",,,,,,,,,,
"I have an appointment tomorrow with Dr Anderson, I am out of town so want to cancel the appointment.","Sure, Can you please let me know your Name, DOB and Phone Number or Email?","My name is Tim David, DOB: 4th Jan 1997, My mobile is 1111111111.","Thanks for the details, We have sent the OTP on your mobile number to verify your identity. Can you enter OTP?",1234,"Thanks for the details, Your appointment is scheduled tomorrow at 2 PM, Are you sure you want to cancel it? Or do you want to reschedule it?",Cancel it.,"Sure, your appointment is cancelled, Please visit our site again to book the appointment once you are available. Is there anything else I can help you with?",Not really.,"Thanks, Have a great day!",,,,,,,,,,,,,,,,,,
"I have an appointment tomorrow with Dr Bennett, I have a conflict and need to cancel the appointment.","Sure, Can you please let me know your Name, DOB and Phone Number or Email?","My name is Sarah Lee, DOB: 12th Mar 1985, My phone number is 2222222222.","Thanks for the details, We have sent the OTP on your mobile number to verify your identity. Can you enter OTP?",5678,"Thanks for the details, Your appointment is scheduled tomorrow at 3 PM, Are you sure you want to cancel it? Or do you want to reschedule it?",Cancel it.,"Sure, your appointment is cancelled, Please visit our site again to book the appointment once you are available. Is there anything else I can help you with?","No, that's all.","Thanks, Have a great day!",,,,,,,,,,,,,,,,,,
"I have an appointment tomorrow with Dr Clark, but something came up, and I need to cancel it.","Sure, Can you please let me know your Name, DOB and Phone Number or Email?","My name is John Doe, DOB: 10th Feb 1990, My mobile number is 3333333333.","Thanks for the details, We have sent the OTP on your mobile number to verify your identity. Can you enter OTP?",9101,"Thanks for the details, Your appointment is scheduled tomorrow at 4 PM, Are you sure you want to cancel it? Or do you want to reschedule it?",Cancel it.,"Sure, your appointment is cancelled, Please visit our site again to book the appointment once you are available. Is there anything else I can help you with?","No, I'm good.","Thanks, Have a great day!",,,,,,,,,,,,,,,,,,
"I have an appointment tomorrow with Dr Johnson, but I'm unable to make it, so I want to cancel the appointment.","Sure, Can you please let me know your Name, DOB and Phone Number or Email?","My name is Alice Smith, DOB: 20th Apr 1987, My contact number is 4444444444.","Thanks for the details, We have sent the OTP on your mobile number to verify your identity. Can you enter OTP?",1122,"Thanks for the details, Your appointment is scheduled tomorrow at 10 AM, Are you sure you want to cancel it? Or do you want to reschedule it?",Cancel it.,"Sure, your appointment is cancelled, Please visit our site again to book the appointment once you are available. Is there anything else I can help you with?",Nothing else.,"Thanks, Have a great day!",,,,,,,,,,,,,,,,,,
"I have an appointment tomorrow with Dr Brown, but I need to cancel the appointment due to unforeseen circumstances.","Sure, Can you please let me know your Name, DOB and Phone Number or Email?","My name is Robert Wilson, DOB: 5th May 1983, My mobile is 5555555555.","Thanks for the details, We have sent the OTP on your mobile number to verify your identity. Can you enter OTP?",3344,"Thanks for the details, Your appointment is scheduled tomorrow at 11 AM, Are you sure you want to cancel it? Or do you want to reschedule it?",Cancel it.,"Sure, your appointment is cancelled, Please visit our site again to book the appointment once you are available. Is there anything else I can help you with?","No, thank you.","Thanks, Have a great day!",,,,,,,,,,,,,,,,,,
"I have an appointment on 7th Oct 2024 with Dr Anderson, I cannot make it as I am travelling, I want to reschedule to next Tuesday.","Sure, Can you please let me know your Name, DOB and Phone Number or Email?","My name is Tim David, DOB: 4th Jan 1997, My mobile is 1111111111","Thanks for the details, We have sent the OTP on your mobile number to verify your identity. Can you enter OTP?",1234,"Sure, Please select the time slot you want to reschedule your appointment.",Selects the time slot,"Your appointment is rescheduled on next Tuesday at 2 PM, Is there anything else I can help you with?",No,"Thanks, Have a great day!!",,,,,,,,,,,,,,,,,,
"I have an appointment on 15th Oct 2024 with Dr Lee, I need to reschedule it to next Wednesday as I have a conflict.","Sure, Can you please provide your Name, DOB, and either Phone Number or Email?","My name is Sarah Johnson, DOB: 15th May 1985, My phone number is 2222222222","Thanks for the details, We have sent the OTP on your phone number to verify your identity. Please enter the OTP.",5678,"Great, Please select the time slot you'd like to reschedule your appointment.",Selects the time slot,"Your appointment is rescheduled on next Wednesday at 11 AM, Is there anything else I can assist you with?",No,"Thank you, Have a great day!!",,,,,,,,,,,,,,,,,,
"I have an appointment on 20th Oct 2024 with Dr Smith, I want to reschedule to next Friday as I am out of town.","Sure, Could you please share your Name, DOB, and your Phone Number or Email?","My name is Mike Brown, DOB: 20th Aug 1990, My mobile number is 3333333333",Thank you for the information. An OTP has been sent to your mobile for verification. Please enter the OTP.,9101,"Thank you, Please choose the time slot you prefer for rescheduling your appointment.",Selects the time slot,"Your appointment is rescheduled on next Friday at 9 AM, Is there anything else you need?",No,"Thanks, Enjoy your day!!",,,,,,,,,,,,,,,,,,
"I have an appointment on 10th Nov 2024 with Dr Brown, I can't make it and would like to reschedule it to the following Monday.","Sure, I can assist with that. Please provide your Name, DOB, and Phone Number or Email.","My name is Laura Wilson, DOB: 10th Feb 1982, My contact number is 4444444444",Thanks for the provided details. An OTP has been sent to your contact number for verification. Can you please enter the OTP?,1121,"Thank you, Please select a new time slot for your appointment.",Selects the time slot,"Your appointment is rescheduled on next Monday at 3 PM, Can I help you with anything else?",No,"Thank you, Have a wonderful day!!",,,,,,,,,,,,,,,,,,
"I have an appointment on 1st Dec 2024 with Dr Green, I need to reschedule it to next Thursday due to a prior engagement.","Sure, I'll help with that. Please give me your Name, DOB, and either Phone Number or Email.","My name is David Green, DOB: 1st Mar 1978, My mobile is 5555555555","Thank you, we have sent an OTP to your phone number to verify your identity. Please enter the OTP.",3141,"Thanks, Please choose the time slot you'd like to reschedule your appointment to.",Selects the time slot,"Your appointment is rescheduled on next Thursday at 10 AM, Is there anything else I can do for you?",No,"Thanks, Have a fantastic day!!",,,,,,,,,,,,,,,,,,
"Hello, this is Olivia Brown calling to book an eye examination appointment for my child at the eyecare hospital. My child has been experiencing some difficulty seeing the board at school. Here are the details:
Child's Name: Lily Brown
DOB: June 1, 2012
Preferred Appointment Date: June 18, 2024
Preferred Time: Afternoon, if possible
Reason for Visit: Difficulty seeing the board at school
Please call me back at your earliest convenience to confirm the appointment or suggest an alternative time if my preferred slot is not available. You can reach me at the contact number provided above. Thank you.
Best regards,
Olivia Brown
(555) 789-0123","Ok, thank you for sharing the details. Can you please help provide an email address and Date Of Birth","DOB is December 5, 2000, I don't have the email","ok no problem, can you please confirm the following contact details
Phone Number: (555) 789-0123
DOB: 12-05-2000",Yes it's correct,"Thanks for the details, We have sent you the OTP on the registered Phone Number, Can you please enter the OTP",1111,"Thanks for the validation, Please choose providers from the list:
● Dr. Emily Thompson
● Dr. Mark Davis
● Dr. Susan Lee",I'll go with Dr. Emily Thompson.,"Ok, thank you for sharing the details. Let me check the availability of the appointment.
I see the following open slots on June 18, 2024: 2:00 PM, 2:20 PM, 3:00 PM.",Let's book the 2:00 PM appointment.,"Alright! Can you please confirm the following details once:
Patient Information:
Parent's Name: Olivia Brown
Child's Name: Lily Brown
Date of Birth: December 5, 2000
Contact Number: (555) 789-0123
Appointment Details:
Date: June 18, 2024
Time: 2:00 PM
Provider: Dr. Emily Thompson
Reason for Visit: Difficulty seeing the board at school","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Can you please fill the intake and consent forms from below link before the appointment date at https://t.maximeyes.com/ajbask","ok sure, Will do it","Thanks, Is there anything else i can help you with?",all good for now,"Thanks, Have a great day!!",,,,,,,,,,
"Hello, this is Sarah Johnson calling to book an eye examination appointment for my son at the eyecare hospital. My son has been complaining about headaches while reading. Here are the details:
Child's Name: Ethan Johnson
DOB: July 10, 2013
Preferred Appointment Date: June 20, 2024
Preferred Time: Morning, if possible
Reason for Visit: Headaches while reading
Please call me back at your earliest convenience to confirm the appointment or suggest an alternative time if my preferred slot is not available. You can reach me at the contact number provided above. Thank you.
Best regards,
Sarah Johnson
(555) 987-6543","Ok, thank you for sharing the details. Can you please help provide an email address and Date Of Birth","DOB is January 20, 1980, I don't have the email","ok no problem, can you please confirm the following contact details
Phone Number: (555) 987-6543
DOB: 01-20-1980",Yes it's correct,"Thanks for the details, We have sent you the OTP on the registered Phone Number, Can you please enter the OTP",2222,"Thanks for the validation, Please choose providers from the list:
● Dr. Emily Thompson
● Dr. John Smith
● Dr. Susan Lee",I'll go with Dr. Emily Thompson.,"Ok, thank you for sharing the details. Let me check the availability of the appointment.
I see the following open slots on June 20, 2024: 9:00 AM, 9:20 AM, 10:00 AM.",Let's book the 9:00 AM appointment.,"Alright! Can you please confirm the following details once:
Patient Information:
Parent's Name: Sarah Johnson
Child's Name: Ethan Johnson
Date of Birth: January 20, 1980
Contact Number: (555) 987-6543
Appointment Details:
Date: June 20, 2024
Time: 9:00 AM
Provider: Dr. Emily Thompson
Reason for Visit: Headaches while reading","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Can you please fill the intake and consent forms from below link before the appointment date at https://t.maximeyes.com/ajbask","ok sure, Will do it","Thanks, Is there anything else i can help you with?",all good for now,"Thanks, Have a great day!!",,,,,,,,,,
"Hello, this is John Miller calling to book an eye examination appointment for my daughter at the eyecare hospital. My daughter has been struggling to see the whiteboard at school. Here are the details:
Child's Name: Ava Miller
DOB: March 15, 2014
Preferred Appointment Date: June 22, 2024
Preferred Time: Afternoon, if possible
Reason for Visit: Struggling to see the whiteboard at school
Please call me back at your earliest convenience to confirm the appointment or suggest an alternative time if my preferred slot is not available. You can reach me at the contact number provided above. Thank you.
Best regards,
John Miller
(555) 234-5678","Ok, thank you for sharing the details. Can you please help provide an email address and Date Of Birth","DOB is March 3, 1985, I don't have the email","ok no problem, can you please confirm the following contact details
Phone Number: (555) 234-5678
DOB: 03-03-1985",Yes it's correct,"Thanks for the details, We have sent you the OTP on the registered Phone Number, Can you please enter the OTP",3333,"Thanks for the validation, Please choose providers from the list:
● Dr. Emily Thompson
● Dr. Michael Brown
● Dr. Susan Lee",I'll go with Dr. Emily Thompson.,"Ok, thank you for sharing the details. Let me check the availability of the appointment.
I see the following open slots on June 22, 2024: 2:00 PM, 2:20 PM, 3:00 PM.",Let's book the 2:00 PM appointment.,"Alright! Can you please confirm the following details once:
Patient Information:
Parent's Name: John Miller
Child's Name: Ava Miller
Date of Birth: March 3, 1985
Contact Number: (555) 234-5678
Appointment Details:
Date: June 22, 2024
Time: 2:00 PM
Provider: Dr. Emily Thompson
Reason for Visit: Struggling to see the whiteboard at school","Yes, they are correct!","Your Appointment is scheduled, Thanks for choosing eyecare location! Can you please fill the intake and consent forms from below link before the appointment date at https://t.maximeyes.com/ajbask","ok sure, Will do it","Thanks, Is there anything else i can help you with?",all good for now,"Thanks, Have a great day!!",,,,,,,,,,
